Brand Name,Product Name,Rating,Rating Count,Selling Price,MRP,Offer
Titan,Karishma Quartz Analog Silver Dial Leather Strap Watch for Men-1825SL15/NT1825SL15,4.1 out of 5 stars,31,"₹3,165",na,na
Fastrack,Fastfit Quartz Multifunction White Dial Stainless Steel Strap Watch for Guys - NT3227SM02,4.3 out of 5 stars,167,"₹3,745","₹5,295",(29% off)
Noise,"Noise Quad Call 1.81"" Display, Bluetooth Calling Smart Watch, AI Voice Assistance, 160+Hrs Battery Life, Metallic Build, in-Built Games, 100 Sports Modes, 100+ Watch Faces (Elite Black)",3.9 out of 5 stars,621,"₹1,599","₹6,999",(77% off)
Sonata,Analog White Dial Men's Watch NM77049YM03/NN77049YM03,4.1 out of 5 stars,"1,302",₹849,na,na
BENYAR,"Men's Luxury Chronograph Watch – Business, Casual | Quartz Movement with Date Display | Stylish Wristwatch | Gift for Men",4.1 out of 5 stars,"1,188","₹2,890","₹4,490",(36% off)
Matrix,"Black, Blue, White Dial, Day & Date Functioning, Stainless Steel Strap Analog Watch for Men & Women",3.6 out of 5 stars,964,₹298,"₹2,499",(88% off)
Carlington,"Endurance Series Analog-Digital Sports Watches for Men and Boys with Alarm, Stopwatch, Backlit Display, Dualtime, Silicone Rubber Strap, Water & Shock Resiatant - CT_9105",4.0 out of 5 stars,285,"₹1,199","₹6,999",(83% off)
Fastrack,Analog Silver Men Watch 3229SM03 / 3229SM03,4.3 out of 5 stars,845,"₹1,740","₹2,295",(24% off)
Fastrack,Analog Brown Dial Men's Watch-FV30001QM03W,5.0 out of 5 stars,3,"₹1,892","₹2,705",(30% off)
OLEVS,Men's Business Watch Gold Blue with Large Easy-Read Analog Quartz Date Display Luxury Stainless Steel Band Waterproof Luminous Hands,3.6 out of 5 stars,"1,948","₹3,419","₹3,900",(12% off)
Titan,Infinity Display Quartz Chronograph with Date Silver Dial Dark Teal Green Leather Strap Watch for Men - NT90146SL01,4.4 out of 5 stars,65,"₹7,195","₹8,995",(20% off)
Noise,"Noise Halo Plus Elite Edition Smartwatch with 1.46"" Super AMOLED Display, Stainless Steel Finish Metallic Straps, 4-Stage Sleep Tracker, Smart Watch for Men and Women (Elite Silver)",4.2 out of 5 stars,"6,075","₹3,499","₹8,999",(61% off)
Fastrack,Vyb Challenger Quartz Analog Black Dial Watch for Men,4.6 out of 5 stars,5,"₹2,045","₹2,925",(30% off)
boAt,"boAt Storm Call 3 w/TBT Navigation, Daily Activity Tracker, DIY Watch Face Studio,700+ Active Modes, 1.83"" (4.6 cm) HD Display Fitness Smart Watch for Men & Women(Active Black)",4.0 out of 5 stars,"33,295","₹1,399","₹8,449",(83% off)
Fastrack,Men Fleek Quartz Multifunction Green Dial Leather Strap Watch for Guys-3270SL03/NT3270SL03,3.6 out of 5 stars,12,"₹4,765","₹5,295",(10% off)
TIMEX,"Leather Classics Men's Quartz Analog Champagne Dial Round Case 3 Hands Function Watch -A301, Dial_Gold, Band_Black",4.1 out of 5 stars,433,₹874,₹895,(2% off)
Fastrack,Urban Camo Black Dial Copper Brown Stainless Steel Watch for Guys - NT3295QM01,4.6 out of 5 stars,33,"₹3,325","₹3,695",(10% off)
Fossil,"Machine Brown Automatic Leather Watch Me3254 - Analog, Men",5.0 out of 5 stars,7,"₹20,995",na,na
Noise,"Noise Pulse 2 Max 1.85"" Display, Bluetooth Calling Smart Watch, 10 Days Battery, 550 NITS Brightness, Smart DND, 100 Sports Modes, Smartwatch for Men and Women (Deep Wine)",4.0 out of 5 stars,"17,624","₹1,399","₹5,999",(77% off)
TIMEWEAR,Analog New Track Day Date Functioning Leather Strap Watch for Men,3.6 out of 5 stars,592,₹379,"₹1,499",(75% off)
Titan,Neo Iv Analog Black Dial Men's Watch NM1805NL01/NN1805NL01/NP1805NL01,4.4 out of 5 stars,459,"₹5,495",na,na
OLEVS,Watches for Men Chronograph Business Wrist Watches Analog Quartz Moon Phase Stainless Steel Waterproof Luminous Dress Watches,3.8 out of 5 stars,"2,984","₹3,049","₹3,900",(22% off)
Fossil,"Machine Brown Automatic Leather Watch Me3254 - Analog, Men",5.0 out of 5 stars,7,"₹20,995",na,na
TIMEWEAR,Analog New Track Day Date Functioning Leather Strap Watch for Men,3.6 out of 5 stars,592,₹379,"₹1,499",(75% off)
Fire-Boltt,"Fire-Boltt Phoenix Pro Smart Watch 1.39 inch Bluetooth Calling, AI Voice Assistant, Metal Body with 120+ Sports Modes, SpO2, Heart Rate Monitoring (Black)",3.9 out of 5 stars,"81,935","₹1,999","₹11,999",(83% off)
TIMEX,"Leather Classics Men's Quartz Analog Champagne Dial Round Case 3 Hands Function Watch -A301, Dial_Gold, Band_Black",4.1 out of 5 stars,433,₹874,₹895,(2% off)
Sonata,Quartz Analog with Date Black Dial Watch for Men-NS77105NM01,4.1 out of 5 stars,13,"₹1,775",na,na
Fastrack,Analog Grey Dial Men's Watch-FV30004QM01W,5.0 out of 5 stars,1,"₹1,791","₹2,560",(30% off)
Carlington,Endurance Series Analog-Digital Wrist Watches for Men - CT_9145,4.0 out of 5 stars,23,"₹1,299","₹6,999",(81% off)
Fire-Boltt,"Fire-Boltt Ring X Smartwatch 2.01” Display with Always On Display, Bluetooth Calling, Wireless Charging, AI Voice Assistant, 100+ Sports Modes, Health Suite, 500+ Watchfaces (Blue S)",3.9 out of 5 stars,"5,095","₹1,349","₹9,999",(87% off)
Redmi,"Redmi Watch 5 Active, 2 Display, Metal Body, 18 Day Battery, Bluetooth Calling, Advanced AI Noise Cancellation, Alexa, Black",4.0 out of 5 stars,331,"₹2,049","₹4,999",(59% off)
Fastrack,Vyb Pioneer Quartz Analog Black Dial Watch for Men,3.8 out of 5 stars,17,"₹1,592","₹2,275",(30% off)
OLEVS,Chronograph Watches for Men Original Analog Quartz Black Stainless Steel Chain Luxury Dual Time Zone Moon Phase Date Waterproof Men's Wrist Watch,4.0 out of 5 stars,664,"₹3,420","₹3,900",(12% off)
TIMEX,"Men Stainless Steel Classics Analog Silver Dial Watch-Ti000R420, Band Color-Silver",4.1 out of 5 stars,123,"₹2,695",na,na
